Index,Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
55,AMD Ryzen 3 3300U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Laptop,YM3300C4T4MFG,,,Q1 2019,4,4,6,,2.1GHz,Up to 3.5GHz,384KB,2MB,4MB,No,12nm,FP5,,PCIe® 3.0,,,15W,12-35W,105°C,,Up to 2400MHz,,2,1200 MHz,,Radeon™ Vega 6 Graphics,6,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
56,AMD Ryzen 5 3450U,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,YM3450C4T4MFG,,,Q2 2020,4,8,,,2.1GHz,Up to 3.5GHz,384KB,2MB,4MB,No,12nm,FP5,,PCIe® 3.0,,,15W,12-35W,105°C,,Up to 2400MHz,,2,1200 MHz,,Radeon™ Vega 8 Graphics,8,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
57,AMD Ryzen 5 3580U Microsoft Surface® Edition,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega 9 Graphics Microsoft Surface® Edition,Laptop,,,,,4,8,9,,2.1GHz,Up to 3.7GHz,384KB,2MB,4MB,No,12nm,FP5,,PCIe® 3.0,,,15W,12-35W,105°C,,Up to 2400MHz,,2,1300 MHz,,Radeon™ Vega 9 Graphics,9,"AMD Zen+ (Core) Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
58,AMD Ryzen 5 3500C,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,Laptop,YM350CC4T4MFG,,,9/22/2020,4,8,8,,2.1GHz,Up to 3.7GHz,384KB,2MB,4MB,No,12nm,FP5,,,,,15W,12-25W,105°C,Chrome  *Operating System (OS) support will vary by manufacturer.,,,,1200 MHz,,AMD Radeon™ Graphics,8,,Yes,Yes
59,AMD Ryzen 3 3200U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Laptop,YM3200C4T2OFG,,,Q1 2019,2,4,3,,2.6GHz,Up to 3.5GHz,192KB,1MB,4MB,No,14nm,FP5,,PCIe® 3.0,,,15W,12-25W,105°C,,Up to 2400MHz,,2,1200 MHz,,Radeon™ Vega 3 Graphics,3,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
60,AMD Athlon 300U,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Vega Graphics,Laptop,YM300UC4T2OFG,,,,2,4,3,5 (2 CPU + 3 GPU),2.4GHz,Up to 3.3GHz,193KB,1MB,4MB,No,14nm,FP5,,,,,15W,,105°C,,Up to 2400MHz,,2,1000 MHz,,Radeon™ Vega 3 Graphics,3,"AMD SenseMI Technology, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
61,AMD Athlon Gold 3150U,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,Laptop,YM3150C4T2OFG,,,1/6/2020,2,4,3,,2.4GHz,Up to 3.3GHz,192KB,1MB,4MB,,14nm,FP5,,,,,15W,12-25W,95°C,,Up to 2400MHz,DDR4,2,1000 MHz,,AMD Radeon™ Graphics,3,,Yes,Yes
62,AMD Ryzen 3 3250C,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics,Laptop,YM325CC4T2OFG,,,9/22/2020,2,4,3,,2.6GHz,Up to 3.5GHz,192KB,1MB,4MB,No,14nm,FP5,,,,,15W,12-25W,105°C,Chrome  *Operating System (OS) support will vary by manufacturer.,,,,1200 MHz,,AMD Radeon™ Graphics,3,,Yes,Yes
63,AMD Athlon Silver 3050U,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,Laptop,YM3050C4T2OFG,,,1/6/2020,2,2,2,,2.3GHz,Up to 3.2GHz,192KB,1MB,4MB,,14nm,FP5,,PCIe® 3.0,,,15W,12-25W,95°C,,Up to 2400MHz,DDR4,2,1100 MHz,,AMD Radeon™ Graphics,2,,Yes,Yes
64,AMD Athlon Silver 3050e,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,Laptop,YM3050C7T2OFG​,,,1/6/2020,2,4,3,,1.4GHz,Up to 2.8GHz,,1MB,4MB,,14nm,,,PCIe® 3.0,,,6W,N/AW,,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1000 MHz,,AMD Radeon™ Graphics,3,,Yes,Yes
65,AMD Athlon Gold 3150C,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,Laptop,YM315CC4T2OFG,,,9/22/2020,2,4,3,,2.4GHz,Up to 3.3GHz,192KB,1MB,4MB,No,14nm,FP5,,,,,15W,12-25W,95°C,Chrome  *Operating System (OS) support will vary by manufacturer.,,,,1100 MHz,,AMD Radeon™ Graphics,3,,Yes,Yes
66,AMD Athlon  Silver 3050C,AMD Athlon™ Processors,AMD Athlon™ Mobile Processors with Radeon™ Graphics,Laptop,YM305CC4T2OFG,,,9/22/2020,2,2,2,,2.3GHz,Up to 3.2GHz,192KB,1MB,4MB,No,14nm,FP5,,,,,15W,12-25W,95°C,Chrome  *Operating System (OS) support will vary by manufacturer.,,,,1100 MHz,,AMD Radeon™ Graphics,2,,Yes,Yes
67,AMD Athlon Gold 3150GE (OEM Only),AMD Athlon™ Processors,AMD Athlon™ 3000 G-Series Desktop Processors with Radeon™ Graphics,Desktop,YD3150C6M4MFH,,,7/21/2020,4,4,3,,3.3GHz,Up to 3.8GHz,384KB,2MB,4MB,Yes,12nm,AM4,,PCIe® 3.0,,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,1100 MHz,,Radeon™  Graphics,3,,Yes,Yes
68,AMD Athlon Gold 3150G (OEM Only),AMD Athlon™ Processors,AMD Athlon™ 3000 G-Series Desktop Processors with Radeon™ Graphics,Desktop,YD3150C5M4MFH,,,7/21/2020,4,4,3,,3.5GHz,Up to 3.9GHz,384KB,2MB,4MB,Yes,12nm,AM4,,PCIe® 3.0,,,65W,45-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,1100 MHz,,Radeon™  Graphics,3,,Yes,Yes
69,AMD Athlon Silver 3050GE (OEM Only),AMD Athlon™ Processors,AMD Athlon™ 3000 G-Series Desktop Processors with Radeon™ Graphics,Desktop,YD305GC6M2OFH,,,7/21/2020,2,4,3,,3.4GHz,Up to 3.4GHz,192KB,1MB,4MB,Yes,14nm,AM4,,PCIe® 3.0,,,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,2,1100 MHz,,Radeon™  Graphics,3,,Yes,Yes
70,AMD Ryzen Threadripper 2990WX,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD299XAZUIHAF,YD299XAZAFWOF,,8/13/2018,32,64,,,3.0GHz,Up to 4.2GHz,3072KB,16MB,64MB,Yes,12nm,sTR4,,PCIe 3.0,Not included,,250W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
71,AMD Ryzen Threadripper 2970WX,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD297XAZUHCAF,YD297XAZAFWOF,,10/18,24,48,,,3.0GHz,Up to 4.2GHz,2304KB,12MB,64MB,Yes,12nm,sTR4,,PCIe 3.0,Not included,,250W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
72,AMD Ryzen Threadripper 2950X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD295XA8UGAAF,YD295XA8AFWOF,,8/31/2018,16,32,,,3.5GHz,Up to 4.4GHz,1536KB,8MB,32MB,Yes,12nm,sTR4,,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
73,AMD Ryzen Threadripper 2920X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD292XA8UC9AF,YD292XA8AFWOF,,10/18,12,24,,,3.5GHz,Up to 4.3GHz,1152KB,6MB,32MB,Yes,12nm,sTR4,,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility",,
74,AMD Ryzen 7 2700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,YD270XBGM88AF,YD270XBGAFBOX,YD270XBGAFMPK,04/19/2018,8,16,,,3.7GHz,Up to 4.3GHz,768KB,4MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Prism with RGB LED,Wraith PRISM,105W,,85°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
75,AMD Ryzen 7 2700,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,YD2700BBM88AF,YD2700BBAFBOX,YD2700BBAFMPK,04/19/2018,8,16,,,3.2GHz,Up to 4.1GHz,768KB,4MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Spire with RGB LED,Wraith Spire,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
76,AMD Ryzen 7 2700E Processor,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Desktop,YD270EBHM88AF,,YD270EBHAFMPK,September 2018,8,16,,,2.8GHz,Up to 4.0GHz,768KB,4MB,16MB,Yes,12nm,AM4,,PCIe 3.0,Not included,Wraith Stealth,45W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD GuardMI Technology, AMD StoreMI Technology, AMD SenseMI Technology, AMD Zen Core Architecture, DASH 1.2",,
77,AMD Ryzen 5 2600X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,YD260XBCM6IAF,YD260XBCAFBOX,YD260XBCAFMPK,04/19/2018,6,12,,,3.6GHz,Up to 4.2GHz,576KB,3MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Spire,Wraith Spire,95W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
78,AMD Ryzen 5 2600,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Boxed Processor,YD2600BBM6IAF,YD2600BBAFBOX,YD2600BBAFMPK,04/19/2018,6,12,,,3.4GHz,Up to 3.9GHz,576KB,3MB,16MB,Yes,12nm FinFET,AM4,,PCIe 3.0 x16,Wraith Stealth,Wraith Stealth,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",,
79,AMD Ryzen 5 2600E,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,YD260EBHM6IAF,,YD260EBHAFMPK,September 2018,6,12,,,3.1GHz,Up to 4.0GHz,578KB,3MB,16MB,Yes,12nm,AM4,,PCIe 3.0,Not included,Wraith Stealth,45W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD StoreMI Technology, AMD SenseMI Technology, AMD Zen Core Architecture",,
80,AMD Ryzen 5 2500X,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors,Desktop,YD250XBBM4KAF,,YD250XBBAFMPK,9/10/2018,4,8,,,3.6GHz,Up to 4.0GHz,384KB,2MB,8MB,Yes,12nm,AM4,,PCIe 3.0,Not included,Wraith Stealth,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
81,AMD Ryzen 5 2400G with Radeon RX Vega 11 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD2400C5M4MFB,YD2400C5FBBOX,YD2400C5FBMPK,02/12/2018,4,8,11,,3.6GHz,Up to 3.9GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe® 3.0 x8,Wraith Stealth,,65W,46-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,1250 MHz,,Radeon™ RX Vega 11 Graphics,11,"AMD SenseMI Technology, AMD VR Ready Processors, AMD Ryzen™ Master Utility, Enmotus FuzeDrive™ for AMD Ryzen™, AMD Radeon™ Software, AMD FreeSync™ Technology",Yes,Yes
82,AMD Ryzen 5 2400GE with Radeon RX Vega 11 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics,Desktop,YD2400C6M4MFB,,YD2400C6FBMPK,04/19/2018,4,8,11,,3.2GHz,Up to 3.8GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe® 3.0 x8,Not included,Wraith Stealth,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,1250 MHz,,Radeon™ RX Vega 11 Graphics,11,"AMD VR Ready Processors, AMD Ryzen™ Master Utility, DirectX® 12 Technology",Yes,Yes
83,AMD Ryzen 3 2300X,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors,Desktop,YD230XBBM4KAF,,YD230XBBAFMPK,9/10/2018,4,4,,,3.5GHz,Up to 4.0GHz,384KB,2MB,8MB,Yes,12nm,AM4,,PCIe 3.0,Not included,Wraith Stealth,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,,,Discrete Graphics Card Required,,,,
84,AMD Ryzen 3 2200G with Radeon Vega 8 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Boxed Processor,YD2200C5M4MFB,YD2200C5FBBOX,YD2200C5FBMPK,02/12/2018,4,4,8,,3.5GHz,Up to 3.7GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe® 3.0 x8,Wraith Stealth,Wraith Stealth,65W,46-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,1100 MHz,,Radeon™ Vega 8 Graphics,8,"AMD Radeon™ Software, AMD SenseMI Technology, AMD VR Ready Processors, AMD Ryzen™ Master Utility, Enmotus FuzeDrive™ for AMD Ryzen™, AMD FreeSync™ Technology",Yes,Yes
85,AMD Ryzen 3 2200GE with Radeon Vega 8 Graphics,AMD Ryzen™ Processors,AMD Ryzen™ 3 Desktop Processors with Radeon™ Vega Graphics,Desktop,YD2200C6M4MFB,,YD2200C6FBMPK,04/19/2018,4,4,8,,3.2GHz,Up to 3.6GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,,PCIe® 3.0 x8,Not included,Wraith Stealth,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2933MHz,DDR4,2,1100 MHz,,Radeon™ Vega 8 Graphics,8,"AMD VR Ready Processors, AMD Ryzen™ Master Utility, DirectX® 12 Technology",Yes,Yes
86,AMD Ryzen 7 2800H,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,YM2800C3T4MFB,,,9/10/2018,4,8,11,,3.3GHz,Up to 3.8GHz,192KB,2MB,4MB,No,14nm,FP5,,PCIe® 3.0,,,45W,35-54W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,,2,1300 MHz,,Radeon™ RX Vega 11 Graphics,11,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
87,AMD Ryzen 5 2600H,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,YM2600C3T4MFB,,,9/10/2018,4,8,8,,3.2GHz,Up to 3.6GHz,192KB,2MB,4MB,No,14nm,FP5,,PCIe® 3.0,,,45W,35-54W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 3200MHz,,2,1100 MHz,,Radeon™ Vega 8 Graphics,8,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
88,AMD Ryzen 7 2700U,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,YM2700C4T4MFB,,,10/26/2017,4,8,10,,2.2GHz,Up to 3.8GHz,384KB,2MB,4MB,No,14nm,FP5,,PCIe® 3.0,,,15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1300 MHz,,Radeon™ RX Vega 10 Graphics,10,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology, VCN",Yes,Yes
89,AMD Ryzen 5 2500U,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,YM2500C4T4MFB,,,10/26/2017,4,8,8,,2.0GHz,Up to 3.6GHz,384KB,2MB,4MB,No,14nm,FP5,,PCIe® 3.0,,,15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1100 MHz,,Radeon™ Vega 8 Graphics,8,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology, VCN",Yes,Yes
90,AMD Ryzen 3 2300U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Laptop,YM2300C4T4MFB,,,1/8/2018,4,4,6,,2.0GHz,Up to 3.4GHz,384KB,2MB,4MB,No,14nm,FP5,,PCIe® 3.0,,,15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1100 MHz,,Radeon™ Vega 6 Graphics,6,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD FreeSync™ Technology, DirectX® 12 Technology",Yes,Yes
91,AMD Ryzen 3 2200U,AMD Ryzen™ Processors,AMD Ryzen™ 3 Mobile Processors with Radeon™ Vega Graphics,Laptop,YM2200C4T2OFB,,,1/8/2018,2,4,3,,2.5GHz,Up to 3.4GHz,384KB,1MB,4MB,No,14nm,FP5,,PCIe® 3.0,,,15W,12-25W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2400MHz,DDR4,2,1100 MHz,,Radeon™ Vega 3 Graphics,3,"AMD SenseMI Technology, AMD Zen Core Architecture, DirectX® 12 Technology",Yes,Yes
92,AMD Ryzen Threadripper 1950X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD195XA8UGAAE,YD195XA8AEWOF,,7/31/2017,16,32,,,3.4GHz,Up to 4.0GHz,1536KB,8MB,32MB,Yes,14nm,sTR4,,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, FMA3",,
93,AMD Ryzen Threadripper 1920X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD192XA8UC9AE,YD192XA8AEWOF,,7/31/2017,12,24,,,3.5GHz,Up to 4.0GHz,1152KB,6MB,32MB,Yes,14nm,sTR4,,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, FMA3",,
94,AMD Ryzen Threadripper 1900X,AMD Ryzen™ Processors,AMD Ryzen™ Threadripper™ Processors,Boxed Processor,YD190XA8U8QAE,YD190XA8AEWOF,,8/31/2017,8,16,,,3.8GHz,Up to 4.0GHz,768KB,4MB,16MB,Yes,14nm,sTR4,,PCIe 3.0,Not included,,180W,,68°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,4,,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Ryzen™ VR-Ready Premium, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX2, XFR (Extended Frequency Range)",,
95,AMD Ryzen 7 1800X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,YD180XBCM88AE,YD180XBCAEWOF,YD180XBCAEMPK,3/2/2017,8,16,,,3.6GHz,Up to 4.0GHz,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,Wraith Max,95W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX, FMA3, XFR (Extended Frequency Range)",,
96,AMD Ryzen 9 PRO 3900,AMD Ryzen™ PRO Processors,AMD Ryzen™ 9 PRO Desktop Processors,Desktop,100-000000072,,,9/30/19,12,24,,,3.1GHz,Up to 4.3GHz,768KB,6MB,64MB,No,TSMC 7nm FinFET,AM4,1P,PCIe 4.0,,,65W,,95°C,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD Memory Guard, AMD GuardMI Technology, DASH 1.2",,
97,AMD Ryzen 7 1700X,AMD Ryzen™ Processors,AMD Ryzen™ 7 Desktop Processors,Boxed Processor,YD170XBCM88AE,YD170XBCAEWOF,YD170XBCAEMPK,3/2/2017,8,16,,,3.4GHz,Up to 3.8GHz,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,Wraith Max,95W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",Up to 2667MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD SenseMI Technology, AMD Zen Core Architecture, AMD Ryzen™ Master Utility, Virtualization, Enmotus FuzeDrive™ for AMD Ryzen™, AES, AVX, FMA3, XFR (Extended Frequency Range)",,
98,AMD Ryzen 7 PRO 3700,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO Desktop Processors,Desktop,100-000000073,,,9/30/19,8,16,,,3.6GHz,Up to 4.4GHz,512KB,4MB,32MB,No,TSMC 7nm FinFET,AM4,1P,PCIe 4.0,,,65W,,95°C,,Up to 3200MHz,DDR4,2,,,Discrete Graphics Card Required,,"AMD Memory Guard, AMD GuardMI Technology, DASH 1.2",,
