Index,Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating,GPUType,CPUType
198,200,36284470,51%,82%,47%,AMD Ryzen 5 2600,78.30%,Nvidia GTX 1060-3GB,55.50%,Nvidia,AMD
199,201,36284478,120%,91%,111%,AMD Ryzen 5 3600X,87.10%,Nvidia RTX 2080,136.90%,Nvidia,AMD
200,202,36284486,63%,89%,63%,AMD Ryzen 5 3600,77.50%,Nvidia GTX 1660S (Super),75.70%,Nvidia,AMD
201,203,36284493,48%,93%,56%,AMD Ryzen 9 3900XT,82.30%,Nvidia GeForce GTX 1650,47.60%,Nvidia,AMD
202,204,36284495,8%,65%,8%,Intel Core i7-4600U,65.40%,Intel HD 4400 (Mobile 1.0/1.1 GHz),2.70%,Intel,Intel
203,205,36284501,187%,105%,187%,Intel Core i9-9900KS,105.40%,Nvidia RTX 2080-Ti,181.60%,Nvidia,Intel
204,206,36284506,12%,71%,11%,Intel Core i7-6700HQ,72.50%,Intel HD 530 (Mobile Skylake),5.40%,Intel,Intel
205,207,36284508,70%,95%,70%,AMD Ryzen 7 4800H,88.30%,Nvidia GTX 1660-Ti (Mobile),70.90%,Nvidia,AMD
206,208,36284519,24%,88%,23%,AMD Ryzen 5 3400G,77.80%,AMD Radeon RX Vega 11 Graphics,18.10%,AMD,AMD
207,209,36284521,48%,90%,45%,AMD Ryzen 5 2600,84.20%,Asus Radeon RX 570,47%,Other,AMD
208,210,36284524,63%,83%,48%,Intel Core i5-7400,78.90%,Nvidia GTX 1660-Ti,78.90%,Nvidia,Intel
209,211,36284528,96%,95%,97%,AMD Ryzen 7 3700X,89.30%,AMD RX 5700-XT,103.10%,AMD,AMD
210,212,36284532,236%,100%,267%,AMD Ryzen 9 3900XT,95%,Nvidia RTX 3090,254.40%,Nvidia,AMD
211,213,36284537,1%,38%,1%,AMD A10-9600P APU (2016 M.BR),39.10%,AMD Radeon R5 Graphics,4.30%,AMD,AMD
212,214,36284548,19%,77%,16%,Intel Core i5-3570,72.60%,AMD HD 7790,19.20%,AMD,Intel
213,215,36284550,25%,73%,20%,Intel Core i5-6400,73.30%,AMD RX 470,35%,AMD,Intel
214,216,36284558,2%,49%,1%,AMD A8-6600K APU,54.60%,Nvidia GeForce 9800 GT,6.50%,Nvidia,AMD
215,217,36284561,4%,39%,4%,AMD Ryzen 5 3500U,40.40%,AMD Radeon Vega 8 Graphics,2%,AMD,AMD
